depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.065000 2.468689 2.653521 2.836152 2.834549 3.019624 3.195408
0.140000 8.190749 8.442243 8.698270 8.707079 8.965502 9.272134
0.185000 12.448942 12.660646 12.825239 12.824124 12.995265 13.173503
0.215000 13.232761 13.455344 13.663086 13.669619 13.881610 14.184836
0.305000 16.672458 16.948030 17.190511 17.186295 17.429030 17.689370
0.350000 17.654569 17.890600 18.143641 18.131019 18.378136 18.591810
0.447500 18.501870 18.871250 19.291186 19.295961 19.719702 20.079116
0.545000 19.897635 20.142213 20.407634 20.409475 20.670105 20.907854
0.665000 21.047014 21.382817 21.959600 21.943235 22.475701 22.827798
0.785000 22.742205 23.094121 23.479906 23.455496 23.765441 24.128765
0.875000 24.156276 24.903354 25.498680 25.398803 25.795792 26.324571
0.965000 27.298282 27.455932 27.647580 27.647524 27.827973 28.041121
