depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.625622 4.815004 5.003981 5.000421 5.199517 5.336683
0.405000 5.829956 6.039152 6.255168 6.271671 6.498592 6.765869
0.505000 7.796046 8.060052 8.284212 8.302719 8.554678 8.896344
0.605000 11.173744 11.423414 11.729672 11.739624 12.054474 12.356177
0.680000 11.901974 12.231758 12.520347 12.522472 12.813144 13.091558
0.755000 12.794196 12.975404 13.170733 13.177610 13.369942 13.594096
0.830000 13.251579 13.484114 13.731273 13.743441 14.004065 14.317432
0.905000 13.740764 13.977436 14.237657 14.253214 14.537896 14.778629
1.005000 14.321013 14.576434 14.923586 14.919603 15.248877 15.527068
1.147857 14.866629 15.191673 15.582652 15.566435 15.922376 16.216555
1.290714 15.427434 15.841205 16.204942 16.196806 16.574306 16.880556
1.433571 16.066374 16.445853 16.821175 16.813498 17.175228 17.518712
1.576429 16.718649 17.057074 17.436460 17.433495 17.801133 18.118236
1.719286 17.369758 17.717527 18.071145 18.060974 18.406168 18.704943
1.862143 18.095201 18.390899 18.697719 18.688992 18.995635 19.241336
2.005000 19.016945 19.218422 19.401945 19.405876 19.604767 19.786968
