depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.489117 0.593861 0.721066 0.726421 0.855816 1.009445
0.090000 5.642610 5.836354 6.050541 6.034848 6.227077 6.373499
0.130000 7.374138 7.617512 7.832144 7.838514 8.067598 8.313503
0.170000 8.540482 8.866349 9.174039 9.164902 9.439088 9.786642
0.250000 10.796876 11.135817 11.417390 11.433077 11.737032 12.145446
0.330000 13.390508 13.598724 13.840256 13.853835 14.106860 14.396327
0.370000 13.896191 14.117399 14.368387 14.367216 14.621970 14.849585
0.450000 14.838733 15.027337 15.191794 15.192934 15.371746 15.530260
0.490000 15.150545 15.317383 15.484097 15.488044 15.661244 15.824985
0.590000 15.624053 15.793158 15.977930 15.974628 16.157504 16.303687
0.690000 15.966794 16.173545 16.389250 16.381711 16.579247 16.771113
0.790000 16.410852 16.607047 16.793832 16.788681 16.969924 17.144859
0.890000 16.860578 17.042323 17.195128 17.186754 17.334265 17.494506
0.970000 17.210779 17.348973 17.509793 17.505143 17.662544 17.779783
1.050000 17.567367 17.703947 17.852081 17.849301 17.995490 18.113945
1.150000 17.982386 18.115156 18.250438 18.254665 18.399264 18.550118
1.250000 18.396058 18.541378 18.696029 18.690001 18.829810 18.989298
1.370000 18.904108 19.048110 19.205340 19.201940 19.353185 19.509365
1.450000 19.257338 19.414227 19.583555 19.584370 19.749377 19.917854
1.530000 19.701289 19.841657 19.996574 20.000064 20.165572 20.311609
