depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.907994 1.029049 1.158500 1.153239 1.270309 1.402267
0.150000 1.220759 1.346606 1.496750 1.509240 1.669188 1.880733
0.250000 1.506958 1.663995 1.831864 1.841022 2.025219 2.221401
0.366667 1.806429 1.985543 2.208866 2.212850 2.438557 2.703159
0.483333 2.130294 2.350655 2.591035 2.598263 2.840423 3.085228
0.600000 2.572604 2.799364 3.031674 3.038205 3.279927 3.559952
0.725000 2.942607 3.253190 3.653620 3.723148 4.198750 4.835865
0.850000 3.387656 3.826148 4.452629 4.446609 5.046320 5.502037
0.975000 3.901891 4.707445 5.312694 5.189238 5.662201 5.934762
1.100000 5.484743 5.707999 5.923512 5.923398 6.151540 6.355815
1.225000 5.881230 6.120177 6.396330 6.399542 6.675419 6.973047
1.350000 6.216990 6.518634 6.815837 6.810834 7.111157 7.421345
1.475000 6.645108 6.972619 7.252440 7.239341 7.513591 7.734691
1.600000 7.340512 7.529720 7.732873 7.738302 7.942152 8.153249
1.725000 7.812967 8.103577 8.427459 8.439283 8.771919 9.187673
1.850000 8.656974 8.957030 9.225593 9.220819 9.473388 9.779411
1.990909 9.137850 9.588021 10.051920 10.246895 10.977292 12.299645
2.131818 9.691726 10.303847 11.065668 11.238869 12.266041 13.363081
2.272727 10.311203 11.163738 12.118604 12.214938 13.265139 14.642382
2.413636 10.888960 11.994792 13.109941 13.211474 14.449956 15.808198
2.554545 11.716616 12.839490 14.074246 14.140055 15.507345 16.673319
2.695455 12.528373 13.717080 15.124378 15.099406 16.485336 17.633926
2.836364 13.386714 14.671821 16.088751 16.032791 17.389929 18.240191
2.977273 14.482701 15.781641 17.196027 17.006049 18.197484 18.848472
3.118182 15.699284 16.961936 18.129125 17.950295 18.903604 19.325993
3.259091 16.952159 18.259729 19.058296 18.869281 19.457510 19.770535
3.400000 19.089298 19.424733 19.691532 19.690466 19.971615 20.209230
3.544118 19.467024 19.851671 20.138039 20.159293 20.481861 20.838080
3.688235 19.878754 20.211864 20.543980 20.578215 20.933511 21.390524
3.832353 20.261037 20.570193 20.957732 20.991067 21.410262 21.957617
3.976471 20.606552 20.944372 21.340430 21.383990 21.815245 22.370599
4.120588 20.954181 21.324352 21.737587 21.772790 22.208605 22.757165
4.264706 21.322750 21.711440 22.132504 22.164755 22.630603 23.132540
4.408824 21.692487 22.100141 22.518245 22.545459 23.012934 23.488770
4.552941 22.009588 22.474582 22.924240 22.927481 23.403141 23.857369
4.697059 22.404091 22.877568 23.316091 23.317762 23.774667 24.233780
4.841176 22.785456 23.255847 23.724616 23.708113 24.146924 24.564817
4.985294 23.166256 23.676833 24.134650 24.111884 24.557336 24.947274
5.129412 23.523201 24.072588 24.514682 24.495799 24.916908 25.336752
5.273529 23.893850 24.478656 24.903673 24.876932 25.300505 25.650062
5.417647 24.287993 24.895676 25.271887 25.254804 25.658114 25.976396
5.561765 24.810861 25.299378 25.667562 25.645147 26.013794 26.315131
5.705882 25.381563 25.745270 26.046136 26.048180 26.368582 26.648516
5.850000 25.946751 26.173533 26.432732 26.454082 26.745357 27.004817
5.990476 26.309757 26.547736 26.848708 26.877519 27.210583 27.525240
6.130952 26.623470 26.914662 27.269285 27.310604 27.717590 28.175770
6.271429 26.945396 27.268590 27.688856 27.732836 28.216549 28.779747
6.411905 27.285932 27.649406 28.108788 28.155652 28.657428 29.299261
6.552381 27.595697 28.025933 28.534153 28.564749 29.093638 29.749530
6.692857 27.935759 28.410415 28.957934 28.987465 29.560768 30.156694
6.833333 28.355908 28.798440 29.430325 29.410637 29.995904 30.590888
6.973810 28.749787 29.227866 29.856990 29.845567 30.455986 31.016459
7.114286 29.196379 29.668848 30.305607 30.289626 30.890122 31.468768
7.254762 29.596594 30.098991 30.728642 30.725895 31.323295 31.912547
7.395238 29.967562 30.565075 31.179443 31.167583 31.777018 32.303709
7.535714 30.356735 31.029737 31.639587 31.618031 32.195851 32.734349
7.676190 30.832298 31.468110 32.052035 32.041475 32.630290 33.134854
7.816667 31.225339 31.889969 32.474455 32.463299 33.052878 33.517922
7.957143 31.724309 32.332897 32.898362 32.886900 33.465446 33.879156
8.097619 32.145292 32.754117 33.319174 33.299569 33.840079 34.250155
8.238095 32.605921 33.207942 33.739974 33.716923 34.242814 34.639561
8.378571 33.103811 33.669895 34.162063 34.139200 34.604470 34.982521
8.519048 33.609379 34.137161 34.601097 34.559654 34.973907 35.303898
8.659524 34.238892 34.654387 35.025354 35.002045 35.349787 35.650905
8.800000 34.874827 35.187867 35.459914 35.466804 35.760410 36.029805
