depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.140000 2.783508 2.926666 3.114743 3.115480 3.297881 3.477266
0.240000 3.877728 4.505618 5.081274 5.069594 5.633824 6.217064
0.340000 6.649410 6.873629 7.111270 7.096127 7.316411 7.521663
0.456667 7.962435 8.673679 9.490619 9.611348 10.489140 12.027933
0.573333 9.462474 11.016680 12.146157 12.000972 12.951435 13.644466
0.690000 13.793780 14.090492 14.429418 14.435959 14.789796 15.085395
0.790000 15.023097 15.687861 16.610175 16.806424 18.000692 19.362151
0.890000 16.518111 17.903355 19.306640 19.114999 20.205910 20.882587
0.990000 20.796821 21.066566 21.427518 21.409584 21.741496 21.961411
1.130000 22.152107 22.910347 23.939657 24.348339 25.917575 28.731248
1.270000 23.646044 24.769440 26.938422 26.991973 29.259842 30.947472
1.410000 25.397191 27.354023 29.813769 29.512903 31.475366 32.336334
1.550000 28.277860 30.992320 32.305014 31.998172 33.087842 33.742073
1.690000 33.054942 33.678232 34.097182 34.069890 34.468820 34.934456
1.827500 34.099564 34.791244 35.424593 35.506129 36.105319 37.633525
1.965000 35.109131 35.898929 36.658647 36.824731 37.774165 39.714076
2.102500 36.261963 37.035682 37.871564 38.119071 39.298033 41.189945
2.240000 37.348139 38.162810 39.095884 39.360169 40.671761 42.585175
2.377500 38.302823 39.273715 40.326833 40.564617 41.944291 43.936964
2.515000 39.527239 40.421157 41.583493 41.794582 43.253009 45.156722
2.652500 40.591486 41.518241 42.761091 42.989927 44.527786 46.400328
2.790000 41.636003 42.658186 44.043155 44.207096 45.842889 47.565643
2.927500 42.861287 43.827930 45.273016 45.408342 47.068738 48.578673
3.065000 44.118774 45.061628 46.554436 46.668484 48.260831 49.776081
3.202500 45.290332 46.426737 47.829150 47.978334 49.473339 51.244233
3.340000 46.681402 47.774290 49.280388 49.322053 50.830798 52.488718
