depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.220000 4.073001 4.248284 4.439879 4.442830 4.637102 4.842790
0.340000 4.765836 5.117660 5.623586 5.881938 6.753930 8.297883
0.460000 5.497706 6.079896 7.215228 7.359567 8.800636 9.611467
0.580000 6.406481 7.368544 8.978959 8.779334 9.954239 10.409832
0.700000 7.859243 9.379779 10.396187 10.131778 10.801165 11.169180
0.820000 10.787118 11.066945 11.321032 11.311730 11.560087 11.765480
0.940000 11.599528 11.842153 12.071948 12.072477 12.312402 12.523197
1.070000 12.173510 12.419303 12.674187 12.676145 12.936028 13.213112
1.200000 12.721966 13.014539 13.250420 13.261482 13.525752 13.787015
1.330000 13.383201 13.602111 13.857884 13.851535 14.073960 14.304682
1.450000 14.197693 14.431120 14.653165 14.648122 14.856599 15.069021
1.490000 14.536318 14.785007 15.003390 15.009940 15.240507 15.515716
1.590000 15.876404 16.151078 16.448379 16.450176 16.757817 17.024761
1.690000 17.667463 17.936278 18.209413 18.207913 18.488423 18.678288
1.820000 20.041952 20.255664 20.432295 20.438101 20.638520 20.809106
1.850000 20.365427 20.535052 20.724061 20.721405 20.900951 21.080726
1.990000 20.926028 21.179342 21.477445 21.475867 21.750247 22.061881
2.130000 21.601920 21.906283 22.194314 22.196785 22.485932 22.781677
2.270000 22.353392 22.638644 22.925011 22.921882 23.209846 23.522696
2.410000 23.203397 23.439333 23.680290 23.682063 23.913844 24.175306
2.543333 23.903000 24.280709 24.668863 24.684448 25.084847 25.658948
2.676667 24.861800 25.392602 25.854097 25.814897 26.228419 26.625833
2.810000 26.519226 26.808242 27.020514 27.008768 27.217821 27.405397
