depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.754901 0.886139 1.028789 1.033210 1.182890 1.311313
0.345000 1.009229 1.164073 1.349154 1.368061 1.560389 1.915156
0.445000 1.283591 1.457895 1.682375 1.700163 1.929256 2.201729
0.545000 1.594104 1.798733 2.026767 2.038776 2.274238 2.569591
0.670000 1.908897 2.161459 2.487667 2.517939 2.872930 3.290648
0.795000 2.262654 2.595429 3.023457 3.003234 3.410257 3.731012
0.920000 2.699259 3.135989 3.486352 3.464475 3.796845 4.072655
1.045000 3.395056 3.631385 3.881548 3.876575 4.118008 4.342184
1.170000 3.707870 3.950177 4.203607 4.198585 4.433951 4.668357
1.295000 4.012645 4.261648 4.496600 4.490242 4.716301 4.963634
1.420000 4.342150 4.578279 4.783098 4.779708 4.994655 5.200052
1.545000 4.787634 4.926061 5.101528 5.102681 5.279090 5.441739
1.645000 5.038220 5.203169 5.434797 5.446410 5.683557 5.966836
1.745000 5.317760 5.567274 5.833993 5.826097 6.085546 6.298803
1.845000 5.798841 6.024922 6.230975 6.226738 6.433460 6.594565
1.945000 6.139194 6.379586 6.589308 6.585298 6.789965 7.021017
2.045000 6.568802 6.762701 6.958090 6.956313 7.158991 7.350117
2.145000 6.935299 7.152021 7.411262 7.403054 7.637550 7.864762
2.245000 7.457956 7.643299 7.840102 7.842527 8.037304 8.288306
2.365000 7.718779 7.969978 8.227771 8.255823 8.545516 8.971944
2.485000 8.015168 8.288288 8.627193 8.639997 8.972184 9.369396
2.605000 8.313090 8.638330 9.003266 9.006971 9.352147 9.745728
2.725000 8.696982 9.073902 9.390289 9.385828 9.700759 10.056772
2.845000 9.279682 9.539812 9.803005 9.819603 10.092632 10.447031
2.945000 9.756449 10.077135 10.530525 10.540984 11.031852 11.308248
3.045000 10.605429 10.956100 11.271549 11.230474 11.470567 11.691612
3.170000 10.923933 11.304296 11.577184 11.544738 11.790389 11.981252
3.295000 11.222764 11.572910 11.822288 11.807139 12.060538 12.238944
3.420000 11.565492 11.834378 12.070521 12.064960 12.296494 12.501396
3.545000 11.859973 12.114142 12.333467 12.325757 12.545167 12.724377
3.675000 12.145976 12.390590 12.651991 12.673092 12.942025 13.415026
3.805000 12.410753 12.696955 13.022382 13.062531 13.454564 13.903648
3.935000 12.710455 13.018104 13.402025 13.447413 13.901120 14.323550
4.065000 13.009536 13.374610 13.834262 13.838354 14.310126 14.657892
4.195000 13.344782 13.762939 14.295829 14.228619 14.647778 14.935630
4.325000 13.759693 14.230834 14.698586 14.621223 14.956672 15.177888
4.455000 14.309244 14.769440 15.048221 15.000922 15.239611 15.430019
4.585000 15.081915 15.233208 15.376621 15.374833 15.514508 15.674306
4.595000 15.110452 15.264855 15.404741 15.401173 15.541470 15.705145
4.702500 15.333663 15.480136 15.622606 15.626465 15.767796 15.928998
4.810000 15.542239 15.688824 15.840281 15.842703 15.997319 16.137697
4.953750 15.797809 15.960832 16.124683 16.121960 16.286617 16.445924
5.097500 16.051386 16.227117 16.392920 16.391895 16.556420 16.719858
5.241250 16.357873 16.513299 16.661188 16.663796 16.812343 16.983804
5.385000 16.657747 16.808954 16.945252 16.944557 17.075797 17.245751
5.395000 16.679955 16.827729 16.971424 16.968962 17.101443 17.269364
5.500000 16.904753 17.052911 17.190687 17.196795 17.349043 17.534204
5.605000 17.103063 17.261050 17.404630 17.419752 17.596850 17.768257
5.738333 17.333093 17.503201 17.675478 17.686143 17.878201 18.061076
5.871667 17.592491 17.761321 17.946982 17.955497 18.152233 18.350351
6.005000 17.815996 18.014344 18.212288 18.220479 18.420772 18.652532
6.138333 18.077038 18.279695 18.476545 18.482316 18.686035 18.899938
6.271667 18.367361 18.540346 18.739133 18.747903 18.952357 19.157586
6.405000 18.673787 18.825426 19.007091 19.019322 19.221827 19.411526
6.495000 18.880352 19.027484 19.220064 19.231583 19.431367 19.636740
6.585000 19.097839 19.239845 19.455735 19.465410 19.678367 19.907906
6.721667 19.344870 19.559897 19.827139 19.857956 20.145534 20.573989
6.858333 19.623763 19.857884 20.213321 20.246839 20.633318 21.077574
6.995000 19.920278 20.215347 20.625793 20.630671 21.048082 21.392031
7.131667 20.218244 20.595356 21.051100 21.019226 21.424633 21.704004
7.268333 20.619955 21.068567 21.441417 21.414243 21.755150 21.979994
7.405000 21.204797 21.532337 21.843717 21.804105 22.068237 22.254018
7.524000 21.498861 21.833606 22.137424 22.111603 22.374556 22.585297
7.643000 21.832765 22.155371 22.414163 22.402961 22.657215 22.901760
7.762000 22.130871 22.453878 22.693252 22.681987 22.927303 23.141074
7.881000 22.471131 22.738668 22.957339 22.957191 23.184215 23.374552
8.000000 22.789569 23.025703 23.227351 23.226300 23.431917 23.617683
8.138333 23.082585 23.320816 23.531223 23.523045 23.725165 23.928126
8.276667 23.444727 23.621187 23.809785 23.816791 24.016305 24.216061
