depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 5.947244 6.127593 6.296991 6.306301 6.494204 6.703924
0.040000 6.739169 7.010951 7.278188 7.266171 7.510980 7.727204
0.090000 7.923515 8.087779 8.307912 8.306322 8.503931 8.741735
0.140000 8.468997 8.673289 8.891319 8.894945 9.115475 9.369062
0.265000 9.492728 10.023685 11.123912 11.102313 12.192270 12.638433
0.390000 12.753491 12.913569 13.105527 13.091588 13.245378 13.409663
0.440000 13.184121 13.332365 13.468776 13.468424 13.607107 13.755094
0.490000 13.457654 13.598945 13.756060 13.758714 13.923880 14.072216
0.606667 13.925828 14.105424 14.283941 14.289034 14.480712 14.680866
0.723333 14.442217 14.617498 14.804897 14.806365 14.999656 15.187189
0.840000 15.035509 15.192404 15.332193 15.338272 15.486039 15.634045
0.890000 15.286509 15.423356 15.571727 15.571842 15.725003 15.833802
0.975000 15.662090 15.808237 15.969494 15.967730 16.132039 16.290691
1.060000 16.063558 16.196016 16.355810 16.356740 16.505863 16.662918
1.180000 16.551862 16.693837 16.857340 16.853691 17.011074 17.189837
1.260000 16.918745 17.075983 17.248304 17.260702 17.433038 17.653366
1.373333 17.444538 17.674092 17.970053 17.992290 18.305041 18.804404
1.486667 18.085713 18.374761 18.761122 18.768260 19.138758 19.572182
1.600000 19.124803 19.386681 19.636634 19.632347 19.881311 20.129645
1.720000 20.093686 20.351950 20.562176 20.571892 20.796487 21.051550
1.820000 20.732501 21.151475 21.511490 21.484695 21.810504 22.113384
1.920000 21.995024 22.158146 22.334092 22.334864 22.506725 22.711418
2.000000 22.513256 22.705771 22.884769 22.883470 23.062238 23.252026
