depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
5.300000 30.988431 33.301264 34.761456 34.456376 35.557746 36.094960
5.400000 32.153271 34.081746 35.211876 35.026142 35.986439 36.550963
5.500000 33.593035 34.816701 35.691798 35.606234 36.447223 37.002338
5.600000 34.694719 35.510515 36.183034 36.193280 36.956233 37.487182
5.700000 35.341940 36.073414 36.739711 36.716797 37.391526 37.929117
5.800000 35.965517 36.609830 37.237170 37.213510 37.808895 38.403889
5.900000 36.496550 37.138091 37.718003 37.691010 38.236334 38.766330
6.000000 37.148700 37.682628 38.190075 38.190325 38.678108 39.250158
6.100000 37.713600 38.222682 38.765104 38.808830 39.366256 40.368394
6.200000 38.262563 38.769999 39.350485 39.460122 40.139765 41.349442
6.300000 38.749830 39.312463 39.928768 40.099236 40.989494 42.375749
6.400000 39.229911 39.844678 40.611976 40.769772 41.816619 43.046537
6.500000 39.761947 40.460114 41.261283 41.451964 42.636712 43.730828
6.600000 40.311997 41.024975 41.935927 42.060836 43.180269 44.279197
6.700000 41.040660 41.653841 42.693768 42.723509 43.804206 44.759915
6.800000 41.576157 42.171030 43.394611 43.363484 44.495875 45.179339
6.900000 42.012924 42.556802 44.027612 43.931921 45.186521 45.856869
7.000000 42.341374 42.919342 44.643164 44.473577 45.735336 46.498758
7.100000 42.702777 43.315251 45.250267 44.990885 46.246271 47.115478
7.200000 43.075100 43.723168 45.805450 45.507048 46.813258 47.996610
7.300000 43.451414 44.133697 46.358683 46.045130 47.468595 48.701522
7.400000 43.866763 44.555102 46.925926 46.581412 48.173941 49.249036
7.500000 44.290028 45.018338 47.418751 47.090210 48.738260 49.907094
7.600000 44.652393 45.428043 47.867655 47.585405 49.357659 50.560088
7.700000 45.011043 45.883512 48.313825 48.067637 49.867270 51.066885
7.800000 45.357452 46.316528 48.791373 48.560154 50.339528 51.848242
7.900000 45.760430 46.715885 49.233029 49.071471 50.861323 52.512379
8.000000 46.184575 47.243845 49.728012 49.593762 51.351498 53.410933
8.100000 46.564149 47.777863 50.204143 50.128985 51.915249 54.350480
8.200000 46.960258 48.325662 50.701683 50.693761 52.525709 55.635071
8.300000 47.314184 48.782466 51.185128 51.259806 53.147004 56.315170
8.400000 47.728638 49.259029 51.724636 51.859430 53.908917 57.118354
8.500000 48.197191 49.832821 52.243255 52.500353 55.011528 58.407149
8.600000 48.596917 50.350707 52.817997 53.150643 55.809382 59.696713
8.700000 48.989678 50.903877 53.529564 53.806250 56.660457 60.658979
8.800000 49.358413 51.494272 54.268261 54.534663 57.802319 61.414006
8.900000 49.825780 51.900978 55.095500 55.319114 58.717667 63.004025
9.000000 50.296467 52.644158 55.764706 56.132405 60.134274 64.734431
9.100000 50.649426 53.189008 56.337859 56.834718 60.986300 66.762377
9.200000 51.095663 53.762990 56.991771 57.588257 61.441570 68.345496
9.300000 51.640170 54.274606 57.678277 58.341373 61.837670 69.404708
9.400000 52.248286 54.901044 58.607038 59.187032 62.220955 70.327934
9.500000 52.745549 55.590233 59.595956 60.033366 63.097618 71.083052
9.550000 52.938403 55.903442 59.958070 60.411158 63.550799 71.558212
