depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.261336 0.465120 0.671838 0.686221 0.915395 1.166232
0.040000 0.350987 0.521155 0.731329 0.744173 0.979821 1.220403
0.060000 0.406601 0.581863 0.786649 0.806062 1.040335 1.293915
0.080000 0.446410 0.643695 0.847795 0.881374 1.133511 1.435986
0.100000 0.505472 0.697757 0.924179 0.960090 1.243280 1.620009
0.120000 0.551433 0.749161 0.995400 1.039240 1.350884 1.777868
0.140000 0.598574 0.801652 1.062527 1.119177 1.462732 1.897322
0.160000 0.644201 0.849186 1.132705 1.203319 1.574382 2.034274
0.180000 0.696073 0.904106 1.207977 1.286001 1.681636 2.193133
0.200000 0.744615 0.951456 1.286775 1.366862 1.785203 2.362847
0.240000 0.842513 1.052303 1.487540 1.619490 2.287126 2.985730
0.260000 0.886926 1.106958 1.558298 1.704116 2.420648 3.159669
0.280000 0.930631 1.153381 1.641005 1.792017 2.546865 3.321784
0.300000 0.974352 1.210045 1.725360 1.877700 2.645261 3.520621
0.320000 1.006145 1.276904 1.812600 1.971898 2.759212 3.697709
0.360000 1.084681 1.389572 2.155530 2.294248 3.232656 4.249050
0.380000 1.113761 1.446464 2.274552 2.392843 3.357885 4.386577
0.400000 1.153538 1.494011 2.407611 2.488325 3.466821 4.472250
0.420000 1.182474 1.533565 2.522157 2.585869 3.571416 4.596260
0.440000 1.215165 1.574373 2.666532 2.686537 3.710858 4.668466
0.460000 1.243811 1.629062 2.789870 2.783513 3.833632 4.734333
0.480000 1.286574 1.679785 2.919769 2.889590 3.976800 4.841607
0.500000 1.322558 1.722190 3.082773 2.986554 4.099399 4.950958
0.520000 1.364204 1.796577 3.213465 3.087772 4.206920 5.011228
0.540000 1.410703 1.845248 3.338732 3.190181 4.330794 5.147962
0.560000 1.457924 1.919660 3.479988 3.295031 4.427704 5.309994
0.580000 1.501819 1.981272 3.573323 3.396991 4.527965 5.389729
0.600000 1.540746 2.044732 3.702486 3.496656 4.659597 5.513230
0.620000 1.579774 2.120859 3.820182 3.607001 4.821568 5.612188
0.640000 1.618631 2.171908 3.932712 3.711091 4.924327 5.731918
0.660000 1.663366 2.231967 4.040491 3.812855 5.053237 5.849974
0.680000 1.724245 2.332000 4.165008 3.916955 5.170465 5.968471
0.700000 1.783728 2.410010 4.254331 4.017982 5.310162 6.073888
0.720000 1.843453 2.489509 4.337198 4.117653 5.416487 6.176425
0.740000 1.898261 2.577627 4.448390 4.210228 5.512493 6.293866
0.760000 1.980471 2.677479 4.533778 4.299829 5.599640 6.385260
0.780000 2.030083 2.750728 4.616490 4.387080 5.698906 6.461179
0.800000 2.077204 2.862144 4.722945 4.477781 5.806891 6.567099
0.840000 2.247536 3.152035 4.938171 4.746328 6.098428 6.720113
0.860000 2.345158 3.225060 5.009423 4.835967 6.203654 6.837643
0.880000 2.367051 3.308611 5.109895 4.931488 6.300011 6.933992
0.900000 2.414230 3.426875 5.210384 5.023147 6.375519 7.003978
0.920000 2.584409 3.572876 5.302251 5.122878 6.468672 7.118612
0.940000 2.668798 3.733224 5.431258 5.221669 6.560372 7.177883
0.960000 2.745681 3.862426 5.525664 5.317168 6.645611 7.252804
0.980000 2.796144 3.992981 5.642250 5.416058 6.726257 7.358988
1.000000 2.876514 4.124243 5.737672 5.512440 6.816199 7.456522
1.020000 2.997858 4.226102 5.829455 5.615469 6.894510 7.556872
1.040000 3.053391 4.369648 5.918522 5.713361 6.960320 7.683163
1.060000 3.113198 4.506496 6.006014 5.814335 7.067343 7.760265
1.080000 3.226729 4.667791 6.108774 5.914727 7.136756 7.834068
1.100000 3.407564 4.773878 6.200754 6.015570 7.231516 7.955416
1.120000 3.486088 4.884111 6.282881 6.111891 7.305142 8.013480
1.140000 3.621123 5.011165 6.381034 6.211746 7.370443 8.131457
1.160000 3.721268 5.114759 6.482449 6.308592 7.445431 8.167630
1.200000 4.016515 5.377586 6.816203 6.610278 7.635432 8.384823
1.220000 4.135601 5.429521 6.914839 6.703914 7.700835 8.461638
1.240000 4.232505 5.524839 7.024126 6.795894 7.788440 8.538499
1.260000 4.337271 5.616197 7.121431 6.887464 7.865590 8.617338
1.280000 4.416126 5.716357 7.222104 6.975691 7.925066 8.716976
1.300000 4.562732 5.829379 7.304847 7.067536 7.996339 8.811283
1.320000 4.630381 5.928333 7.404339 7.155963 8.065003 8.881380
1.340000 4.725791 6.068222 7.487669 7.239391 8.122173 8.924723
1.360000 4.860143 6.174510 7.578241 7.320701 8.184254 8.978179
1.380000 4.925097 6.310646 7.632381 7.396995 8.240517 9.035589
