depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 2.105183 2.853046 3.268594 3.195918 3.587704 3.836630
0.030000 3.203008 3.459587 3.700931 3.706123 3.955258 4.152249
0.070000 3.861123 4.144955 4.517524 4.626413 5.057916 6.121585
0.100000 4.345426 4.713721 5.280425 5.416872 6.176438 7.112885
0.130000 4.915069 5.437166 6.267771 6.317390 7.230426 8.083452
0.170000 5.845919 6.744188 7.828287 7.817194 8.830924 9.960512
0.200000 7.989215 8.873639 9.883457 9.830109 10.762174 11.551426
0.230000 12.179236 12.684625 13.413852 13.475378 14.393628 14.863761
0.270000 13.516156 14.391639 14.849809 14.815779 15.272194 15.660812
0.300000 14.970732 15.276822 15.578430 15.572483 15.861809 16.197026
0.330000 15.596846 15.925966 16.226118 16.229733 16.520567 16.915622
0.370000 16.524265 16.803726 17.142767 17.174875 17.533088 18.022230
0.400000 17.008376 17.315237 17.687733 17.727000 18.147015 18.599513
0.430000 17.454850 17.794450 18.186578 18.220543 18.646317 19.109791
0.470000 17.994979 18.399568 18.809402 18.834237 19.265616 19.781365
0.500000 18.417402 18.842657 19.292850 19.299890 19.765303 20.261299
0.530000 18.820706 19.293461 19.747247 19.764406 20.240931 20.753090
0.570000 19.428879 19.907125 20.372072 20.376196 20.854446 21.330594
0.600000 19.856123 20.379493 20.867133 20.854503 21.345149 21.791647
0.630000 20.256692 20.843441 21.326427 21.319555 21.801130 22.334558
0.670000 20.894208 21.428307 21.920802 21.950527 22.449211 23.268377
0.700000 21.276690 21.895057 22.413349 22.462588 22.984110 24.038323
0.730000 21.763509 22.341008 22.943280 22.990846 23.555682 24.703461
0.770000 22.334120 23.013455 23.679920 23.740257 24.469100 25.492865
0.800000 22.795188 23.594793 24.271571 24.334690 25.076992 26.108949
0.830000 23.345746 24.196205 24.868400 24.927061 25.736013 26.618380
0.860000 23.919092 24.829242 25.502677 25.589545 26.439766 27.318593
0.900000 24.919624 25.601586 26.473700 26.643672 27.658388 29.194071
0.930000 25.482055 26.168816 27.256165 27.427029 28.720122 30.452375
0.970000 26.305495 27.001595 28.391757 28.616589 30.350934 31.541579
1.000000 26.983088 27.773345 29.517538 29.508920 31.329227 32.312329
1.030000 27.569605 28.542987 30.576789 30.399336 32.099595 32.958370
1.070000 28.394607 29.750339 31.780174 31.518357 32.965356 33.819200
1.100000 28.945302 30.801864 32.590051 32.307880 33.583984 34.358909
1.130000 29.667602 31.740733 33.345426 33.028719 34.112926 34.895524
1.170000 31.067574 32.837741 34.078161 33.861863 34.799757 35.572128
1.200000 32.181136 33.619513 34.600124 34.499111 35.377474 36.068883
1.230000 33.306614 34.406390 35.246838 35.206918 36.015419 36.705920
1.270000 34.487785 35.261402 36.062660 36.068790 36.840144 37.792266
1.300000 35.159784 35.938714 36.699778 36.721850 37.510324 38.488198
1.330000 35.856954 36.667778 37.396538 37.430699 38.259272 38.954729
1.370000 36.720047 37.734912 38.419598 38.401113 39.161885 39.767721
1.400000 37.642090 38.566426 39.204231 39.184770 39.869507 40.377893
1.430000 38.663056 39.297696 39.982590 39.924872 40.566997 40.932975
1.470000 39.535077 40.209698 40.832943 40.739324 41.245528 41.524313
1.500000 40.360136 41.025342 41.422692 41.358491 41.686329 41.928037
1.530000 41.572419 41.788309 42.002734 41.996759 42.194198 42.388352
1.570000 42.099741 42.437047 42.800427 43.006525 43.520251 45.277221
1.600000 42.503141 42.917924 43.535290 43.833685 44.850793 46.569126
1.630000 42.920987 43.442992 44.571594 44.744079 45.952591 48.029739
1.670000 43.454464 44.340877 45.740761 46.024974 47.582351 50.408848
1.700000 43.922408 44.959421 46.551682 46.928475 49.203237 51.265619
1.730000 44.426148 45.845014 47.493856 47.873896 50.410910 52.057148
1.770000 45.205542 46.745997 48.940561 49.159147 51.960367 52.967600
1.800000 46.048801 47.319217 50.135044 49.991740 52.657467 53.559273
1.830000 46.598305 47.931212 51.248746 50.776461 53.358526 54.155942
1.870000 47.416756 48.778872 52.498567 51.652792 54.110469 54.808147
1.900000 47.915531 49.419092 53.206452 52.281204 54.649188 55.336737
1.930000 48.510311 49.997698 53.977327 52.921012 55.140910 55.811904
1.970000 49.458699 50.765409 54.795781 53.710536 55.771696 56.377880
2.000000 50.108714 51.363594 55.396146 54.293886 56.296479 56.792419
2.030000 50.654781 51.879755 55.950949 54.854467 56.747778 57.219475
2.070000 51.597725 52.701659 56.665971 55.596506 57.368387 57.864938
2.100000 52.261017 53.323403 57.182596 56.171173 57.884498 58.316957
2.130000 52.873940 53.941471 57.651235 56.705158 58.336783 58.790092
2.200000 54.040772 55.571868 58.628141 57.847729 59.268136 59.709663
2.230000 54.686058 56.367609 59.086462 58.381223 59.689504 60.148064
2.270000 55.342893 57.276182 59.655870 59.071903 60.259440 60.668931
2.300000 56.175958 58.009813 60.122335 59.607183 60.676478 61.108183
2.330000 57.109477 58.924497 60.574907 60.158240 61.088115 61.505626
2.370000 58.430276 60.182969 61.137820 60.911410 61.669192 62.092223
2.400000 59.780145 60.945195 61.639658 61.527051 62.138255 62.613684
2.430000 60.680521 61.525700 62.102685 62.051407 62.601094 63.072770
2.470000 61.705725 62.231528 62.751450 62.756796 63.305970 63.857411
2.500000 62.235214 62.723841 63.247967 63.289951 63.862257 64.411875
2.520000 62.525631 63.045914 63.620989 63.647528 64.273620 64.823574
2.540000 62.833040 63.352589 63.971974 63.994769 64.624194 65.243241
2.560000 63.184070 63.692690 64.324977 64.349032 65.001244 65.633978
2.580000 63.521415 64.042995 64.671557 64.692259 65.343329 65.970265
2.600000 63.897988 64.388927 65.031983 65.039038 65.667002 66.288036
2.620000 64.208841 64.772669 65.425043 65.402036 65.999241 66.613319
2.640000 64.579755 65.131135 65.752134 65.743894 66.322090 66.889022
2.700000 65.574031 66.149640 66.705637 66.687912 67.214248 67.682806
2.760000 66.753430 67.182913 67.686701 67.670398 68.120642 68.541625
2.780000 67.203714 67.578939 68.049499 68.044439 68.470246 68.973509
2.800000 67.621290 67.996669 68.405319 68.414711 68.826897 69.322864
2.820000 67.948097 68.358211 68.776477 68.795530 69.232695 69.816978
2.840000 68.304670 68.716406 69.160350 69.241237 69.751343 70.646212
2.860000 68.635632 69.097539 69.570364 69.693018 70.286709 71.573880
2.880000 68.988916 69.476123 70.047055 70.251638 71.063941 72.561932
2.900000 69.412482 69.914601 70.667248 70.924163 72.132959 73.334404
2.920000 69.842285 70.433154 71.536346 71.750215 73.203182 73.969162
2.940000 70.495358 71.204313 72.493417 72.621916 74.080643 74.892868
2.960000 71.138042 71.933695 73.542958 73.516285 74.966979 76.450280
2.980000 72.008441 72.818733 74.279254 74.402535 76.015618 77.606168
3.000000 72.883588 73.942601 74.814036 75.199421 77.165597 78.425309
3.020000 74.450665 74.940042 75.612584 76.109451 77.886206 79.294352
3.040000 75.048550 75.566932 76.336307 76.801289 78.648202 79.852502
3.060000 75.648247 76.168246 76.945072 77.488124 79.388948 80.396497
3.080000 76.454107 77.161725 78.381548 78.468854 79.924641 80.835099
3.100000 77.213459 78.372856 79.565279 79.470779 80.591494 81.274065
