depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.505000 24.630462 25.376190 26.257615 26.324901 27.225242 28.695325
4.600000 25.087474 26.159886 26.988927 27.155861 28.033981 30.635032
4.650000 25.336215 26.498085 27.350385 27.511542 28.415174 31.152987
4.700000 25.565938 26.799914 27.670348 27.848864 28.853219 31.547859
4.750000 25.853443 27.080665 27.936419 28.170810 29.183469 32.246127
4.800000 26.150759 27.374476 28.213329 28.480038 29.554946 32.857468
4.850000 26.439413 27.691141 28.494568 28.778964 29.898782 33.422998
4.900000 26.719758 27.954713 28.741726 29.081318 30.276018 34.010268
4.950000 26.872295 28.198893 28.980613 29.363941 30.574327 34.362833
5.000000 27.099111 28.397728 29.233076 29.641689 30.822993 34.667414
5.040000 27.291074 28.583289 29.423588 29.861933 31.074036 34.873388
5.090000 27.484019 28.809620 29.662956 30.128733 31.333426 35.353360
5.140000 27.701810 29.007140 29.914880 30.396080 31.666691 35.885965
5.190000 27.944651 29.216578 30.169939 30.659235 32.001574 36.290473
5.240000 28.180398 29.403732 30.449435 30.923794 32.314175 36.573213
5.290000 28.396287 29.596714 30.689152 31.182352 32.579585 37.558798
5.340000 28.606832 29.783192 30.946228 31.441679 32.922547 38.292582
5.390000 28.833498 29.966613 31.251869 31.702723 33.263210 38.711406
5.440000 28.971849 30.213395 31.474023 31.974158 33.631092 39.144035
5.490000 29.164638 30.412958 31.725946 32.237736 33.964633 39.536175
5.530000 29.353794 30.580104 31.935652 32.453699 34.265627 39.690452
5.580000 29.569049 30.781818 32.156721 32.733799 34.695184 39.925893
5.630000 29.802680 30.968488 32.388350 33.018238 35.155713 40.149064
5.680000 30.140474 31.169259 32.656040 33.306704 35.624695 40.331373
5.730000 30.365837 31.344482 32.857741 33.638918 36.228361 40.664350
5.780000 30.636421 31.538738 33.098548 33.976258 37.164397 40.976102
5.830000 30.828691 31.740445 33.291423 34.316330 38.225810 41.262982
