depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.946639 2.353468 2.661264 2.661622 2.976380 3.364171
0.090000 3.038550 3.438015 3.744358 3.751300 4.067419 4.480322
0.170000 8.600183 9.007632 9.319835 9.324026 9.648588 10.101046
0.210000 10.395524 10.817957 11.195985 11.198705 11.576073 12.031121
0.250000 12.996814 13.310004 13.586742 13.621455 13.924525 14.472627
0.290000 13.465716 13.812950 14.174317 14.200987 14.609464 15.041889
0.490000 17.267623 17.686083 18.026283 18.018489 18.361420 18.702802
0.610000 18.988390 19.368405 19.691921 19.693284 20.016798 20.413484
0.730000 20.660472 21.079774 21.441554 21.434344 21.787645 22.152234
0.850000 24.120718 24.548179 24.921458 24.904539 25.249141 25.625788
