depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 3.008050 3.396465 3.695688 3.705708 4.028444 4.424752
0.100000 3.177630 3.590807 3.920757 3.931394 4.278568 4.708590
0.200000 7.741334 8.103721 8.411438 8.430091 8.766470 9.196623
0.370000 13.858398 14.309455 14.760863 14.746146 15.161001 15.633133
0.670000 18.739259 19.138784 19.501476 19.512515 19.884299 20.352158
0.930000 22.407326 22.778897 23.083009 23.094475 23.419763 23.761030
1.200000 27.233777 27.537679 27.812410 27.841491 28.160489 28.564132
1.430000 30.635247 31.067641 31.342573 31.386702 31.706639 32.442231
1.600000 32.684529 33.289960 33.674494 33.635567 33.988656 34.321424
1.770000 35.612777 36.101900 36.453153 36.488303 36.879167 37.514797
1.900000 36.923181 37.553498 38.134452 38.111542 38.680085 39.153690
