depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.579482 0.842687 1.094974 1.105962 1.354347 1.725543
0.250000 1.283075 1.612534 1.907751 1.917171 2.219777 2.615849
0.600000 2.276404 2.684394 2.983125 2.980788 3.277559 3.689971
1.100000 5.332284 5.683777 5.964249 5.959139 6.225290 6.581207
1.600000 7.075359 7.418714 7.666804 7.669477 7.916507 8.276485
1.850000 8.567182 8.967324 9.292028 9.295570 9.621876 10.079893
3.400000 19.077796 19.486154 19.805317 19.807774 20.126174 20.529481
5.850000 25.790667 26.101907 26.427128 26.433911 26.770377 27.085092
8.800000 34.367712 34.930704 35.472128 35.473932 35.975993 36.696604
