depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.065000 2.073623 2.465888 2.786369 2.782895 3.102123 3.463928
0.140000 8.053902 8.387283 8.681978 8.693014 8.996901 9.377381
0.185000 12.245939 12.688999 12.921207 12.924560 13.175381 13.552388
0.215000 12.904889 13.235162 13.511882 13.539207 13.835642 14.373559
0.305000 16.473517 16.929565 17.252768 17.254738 17.606448 17.995902
0.350000 17.472492 17.981586 18.318495 18.312769 18.642601 19.091403
0.545000 19.587685 20.010946 20.359114 20.353055 20.692433 21.159466
0.785000 22.045310 22.569595 23.017918 23.029758 23.499368 24.043303
0.965000 27.086520 27.429518 27.745085 27.771370 28.120944 28.572224
