depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 2.963614 3.375320 3.679493 3.687194 4.012875 4.427035
0.130000 6.187961 6.523993 6.814898 6.807555 7.095104 7.392736
0.200000 9.531465 9.949395 10.331797 10.332384 10.709306 11.154993
0.265000 9.747951 10.196666 10.530224 10.540140 10.906409 11.329011
0.295000 11.275045 11.699879 12.080777 12.052955 12.408611 12.668313
0.330000 14.241679 14.824943 15.217036 15.192779 15.564619 15.962826
0.430000 18.034614 18.673607 19.172103 19.189815 19.722595 20.392622
0.600000 20.965868 21.412141 21.769562 21.741108 22.062637 22.380793
0.830000 26.357250 26.754511 27.079801 27.053800 27.329357 27.663261
0.970000 28.955474 29.416015 29.856358 29.844269 30.250204 30.745732
1.170000 32.362780 33.113306 33.547372 33.502536 33.917569 34.269481
1.330000 35.252166 35.650089 36.019419 36.023039 36.367721 36.927419
1.530000 41.306694 41.739113 42.016508 41.987728 42.234401 42.518710
