depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.031644 0.163249 0.374751 0.390956 0.592080 0.904802
0.680000 5.769519 6.098799 6.384062 6.386935 6.672587 7.033013
0.980000 9.098175 9.522064 9.831778 9.841108 10.157886 10.640896
1.230000 10.787257 11.292121 11.663542 11.663410 12.068361 12.455091
1.630000 12.003733 12.544352 12.818922 12.808405 13.081676 13.465710
3.080000 18.536361 18.903232 19.208132 19.216822 19.527820 19.928982
3.430000 21.998032 22.384555 22.687380 22.689826 22.989112 23.440566
3.880000 24.644852 25.101438 25.414135 25.390509 25.679373 26.011780
4.830000 29.311012 29.839771 30.178650 30.174861 30.560012 30.895190
5.830000 34.572308 35.212851 35.708067 35.725162 36.228076 36.981492
6.630000 39.136458 40.119277 40.837667 40.765652 41.423047 41.969413
7.780000 42.177796 43.563069 45.125982 45.215640 46.797987 48.890388
