depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.493109 0.737557 0.971362 0.984502 1.223567 1.575459
0.545000 1.418511 1.769437 2.074922 2.080418 2.381085 2.758352
1.045000 3.270306 3.640688 3.962393 3.967231 4.293931 4.731690
1.545000 4.259983 4.685643 5.012567 5.001478 5.314111 5.670857
1.545000 4.307380 4.732076 5.046634 5.036089 5.334194 5.685398
1.845000 5.652178 5.991640 6.266520 6.269732 6.551656 6.935507
2.045000 6.243903 6.575761 6.857154 6.852907 7.134282 7.428264
2.245000 7.372975 7.688672 7.936209 7.945525 8.195939 8.570096
2.845000 8.890736 9.306192 9.620330 9.630081 9.964431 10.398585
3.045000 10.863224 11.317960 11.670801 11.673865 12.051692 12.427561
3.545000 11.325339 11.783358 12.150871 12.122050 12.463347 12.735911
4.585000 14.558923 15.138339 15.485061 15.475210 15.829220 16.270871
4.595000 14.510451 15.068058 15.420337 15.410703 15.765234 16.182890
4.810000 15.053944 15.484964 15.836688 15.830646 16.174792 16.586334
5.385000 16.183832 16.634538 16.959084 16.952274 17.274601 17.696446
5.395000 16.166198 16.563079 16.901548 16.898128 17.224124 17.656545
5.605000 16.717578 17.144559 17.473161 17.471891 17.803310 18.167108
6.405000 18.234495 18.617764 18.908416 18.917735 19.231037 19.681858
6.585000 18.758043 19.110777 19.441646 19.450343 19.787668 20.195119
7.405000 21.017889 21.467483 21.845368 21.816659 22.150232 22.500137
8.000000 22.399824 22.890957 23.279404 23.281175 23.664565 24.187583
8.415000 23.388418 23.832766 24.133322 24.146542 24.482439 24.885632
9.185000 24.980827 25.368341 25.675155 25.658635 25.926018 26.302168
9.215000 24.908048 25.348474 25.665939 25.653331 25.941059 26.358515
10.120000 27.384095 27.850357 28.273444 28.280011 28.695339 29.232552
10.195000 27.629237 27.909008 28.224237 28.227045 28.533430 28.882980
10.480000 28.033377 28.678497 29.128039 29.127719 29.610858 30.061027
10.785000 28.943798 29.262690 29.561014 29.556237 29.837424 30.173894
10.795000 28.736233 29.096802 29.384599 29.378244 29.675006 29.951630
11.750000 31.197084 31.800053 32.458632 32.475349 33.141230 33.870163
11.995000 31.964852 32.612405 33.201296 33.147833 33.642173 34.066456
12.030000 32.207903 32.890185 33.300298 33.255310 33.642697 33.993805
12.160000 31.981392 32.916590 33.562751 33.505253 34.081747 34.716896
12.670000 34.729558 35.462905 36.065918 36.109405 36.742027 37.808184
12.795000 34.372404 34.901114 35.423367 35.433081 35.947092 36.669706
12.830000 35.113151 35.529614 35.885549 35.891679 36.228784 36.767540
13.360000 36.061933 37.176450 38.299204 38.246107 39.271070 40.319773
13.405000 36.121317 36.909463 37.689889 37.681963 38.494353 39.149900
13.510000 36.551918 37.131296 37.652670 37.668675 38.224313 38.795581
13.615000 37.597221 38.743955 39.454504 39.384930 40.031085 40.691174
13.785000 38.055926 39.212971 39.826256 39.769374 40.380737 40.987730
14.040000 38.043421 39.374872 40.066116 39.997219 40.691984 41.388296
14.160000 37.671560 39.426407 40.497834 40.378171 41.365449 42.172507
14.390000 39.623943 40.646585 41.314008 41.237722 41.833127 42.357600
14.740000 42.224950 42.555104 42.875469 42.950279 43.385177 44.005148
14.815000 41.750451 42.729443 43.646444 43.702770 44.656220 46.055429
14.830000 42.311745 43.203228 44.217601 44.298896 45.360305 46.899700
15.350000 45.930933 47.340060 48.676422 48.763773 50.191185 51.926901
15.405000 43.343603 45.122471 46.835418 46.937184 48.752285 51.113844
15.460000 44.861138 45.883252 46.794076 46.854181 47.807711 49.243587
15.480000 44.780323 46.586270 48.626949 48.710166 50.858122 53.347247
15.815000 44.133449 45.914828 47.817558 47.898950 49.891655 52.156071
15.980000 46.501523 48.302385 50.182576 50.255444 52.228269 54.373573
